School,Type,City,State
Northeastern University,Private,Boston,Massachusetts
Northern Arizona University,Public,Flagstaff,Arizona
Northern Illinois University,Public,Dekalb,Illinois
Northern Kentucky University,Public,Highland Heights,Kentucky
Northwestern State University of Louisiana,Public,Natchitoches,Louisiana
Northwestern University,Private,Evanston,Illinois
Oakland University,Public,Rochester,Michigan
Ohio State University,Public,Columbus,Ohio
Ohio University,Public,Athens,Ohio
Oklahoma State University,Public,Stillwater,Oklahoma
Old Dominion University,Public,Norfolk,Virginia
Oral Roberts University,Private,Tulsa,Oklahoma
Oregon State University,Public,Corvallis,Oregon
Penn State,Public,University Park,Pennsylvania
Pepperdine University,Private,Malibu,California
Portland State University,Public,Portland,Oregon
Prairie View A & M University,Public,Prairie View,Texas
Presbyterian College,Private,Clinton,South Carolina
Princeton University,Private,Princeton,New Jersey
Providence College,Private,Providence,Rhode Island
Purdue University,Public,West Lafayette,Indiana
Purdue University – Fort Wayne,Public,Fort Wayne,Indiana
Queens University of Charlotte,Private,Charlotte,North Carolina
Quinnipiac University,Private,Hamden,Connecticut
Radford University,Public,Radford,Virginia
Rice University,Private,Houston,Texas
Rider University,Private,Lawrenceville,New Jersey
Robert Morris University – Pennsylvania,Private,Moon Township,Pennsylvania
Rutgers University,Public,Piscataway,New Jersey
Sacred Heart University,Private,Fairfield,Connecticut
Saint Francis University,Private,Loretto,Pennsylvania
Saint Joseph's University,Private,Philadelphia,Pennsylvania
Saint Louis University,Private,St. Louis,Missouri
Saint Mary's College of California,Private,Moraga,California
Saint Peter's University,Private,Jersey City,New Jersey
Sam Houston State University,Public,Huntsville,Texas
Samford University,Private,Birmingham,Alabama
San Diego State University,Public,San Diego,California
San Jose State University,Public,San Jose,California
Santa Clara University,Private,Santa Clara,California
Seattle University,Private,Seattle,Washington
Seton Hall University,Private,South Orange,New Jersey
Siena College,Private,Loudonville,New York
South Carolina State University,Public,Orangeburg,South Carolina
South Dakota State University,Public,Brookings,South Dakota
Southeast Missouri State University,Public,Cape Girardeau,Missouri
Southeastern Louisiana University,Public,Hammond,Louisiana
Southern Illinois University Carbondale,Public,Carbondale,Illinois
Southern Illinois University Edwardsville,Public,Edwardsville,Illinois
Southern Methodist University – SMU,Private,Dallas,Texas
Southern University & A&M College,Public,Baton Rouge,Louisiana
Southern Utah University,Public,Cedar City,Utah
St. Bonaventure University,Private,Saint Bonaventure,New York
St. Francis College,Private,Brooklyn Heights,New York
St. John's University – New York,Private,Queens,New York
Stanford University,Private,Stanford,California
Stephen F Austin State University,Public,Nacogdoches,Texas
Stetson University,Private,Deland,Florida
Stonehill College,Private,Easton,Massachusetts
SUNY Binghamton University,Public,Vestal,New York
SUNY Stony Brook University,Public,Stony Brook,New York
SUNY University at Albany,Public,Albany,New York
SUNY University at Buffalo,Public,Buffalo,New York
Syracuse University,Private,Syracuse,New York
Tarleton State University,Public,Stephenville,Texas
Temple University,Public,Philadelphia,Pennsylvania
Tennessee State University,Public,Nashville,Tennessee
Texas A&M University,Public,College Station,Texas
Texas A&M University – Commerce,Public,Commerce,Texas
Texas A&M University – Corpus Christi,Public,Corpus Christi,Texas
Texas Christian University,Private,Fort Worth,Texas
Texas Southern University,Public,Houston,Texas
Texas State University,Public,San Marcos,Texas
Texas Tech University,Public,Lubbock,Texas
The Citadel,Public,Charleston,South Carolina
Towson University,Public,Towson,Maryland
Troy University,Public,Troy,Alabama
Tulane University,Private,New Orleans,Louisiana
United States Air Force Academy,Public,Usafa,Colorado
United States Military Academy,Public,West Point,New York
United States Naval Academy,Public,Annapolis,Maryland
University of Akron,Public,Akron,Ohio
University of Alabama,Public,Tuscaloosa,Alabama
University of Alabama – Birmingham,Public,Birmingham,Alabama
University of Arizona,Public,Tucson,Arizona
University of Arkansas,Public,Fayetteville,Arkansas
University of Arkansas at Little Rock,Public,Little Rock,Arkansas
University of Arkansas at Pine Bluff,Public,Pine Bluff,Arkansas
University of California – Berkeley,Public,Berkeley,California
University of California – Davis,Public,Davis,California
University of California – Irvine,Public,Irvine,California
University of California – Los Angeles – UCLA,Public,Los Angeles,California
University of California – Riverside,Public,Riverside,California
University of California – San Diego,Public,La Jolla,California
University of California – Santa Barbara,Public,Santa Barbara,California
University of Central Arkansas,Public,Conway,Arkansas
University of Central Florida,Public,Orlando,Florida
University of Central Florida,Public,Orlando,Florida
University of Cincinnati,Public,Cincinnati,Ohio
University of Colorado – Boulder,Public,Boulder,Colorado
University of Connecticut,Public,Storrs,Connecticut
University of Dayton,Private,Dayton,Ohio
University of Delaware,Public,Newark,Delaware
University of Denver,Private,Denver,Colorado
University of Detroit Mercy,Private,Detroit,Michigan
University of Evansville,Private,Evansville,Indiana
University of Florida,Public,Gainesville,Florida
University of Georgia,Public,Athens,Georgia
University of Hawaii at Manoa,Public,Honolulu,Hawaii
University of Houston,Public,Houston,Texas
University of Idaho,Public,Moscow,Idaho
University of Illinois,Public,Champaign,Illinois
University of Illinois at Chicago,Public,Chicago,Illinois
University of Iowa,Public,Iowa City,Iowa
University of Kansas,Public,Lawrence,Kansas
University of Kentucky,Public,Lexington,Kentucky
University of Louisiana,Public,Lafayette,Louisiana
University of Louisiana – Monroe,Public,Monroe,Louisiana
University of Louisville,Public,Louisville,Kentucky
University of Maine,Public,Orono,Maine
University of Maryland,Public,College Park,Maryland
University of Maryland – Baltimore County,Public,Baltimore,Maryland
University of Maryland Eastern Shore,Public,Princess Anne,Maryland
University of Massachusetts – Amherst,Public,Amherst,Massachusetts
University of Massachusetts – Lowell,Public,Lowell,Massachusetts
University of Memphis,Public,Memphis,Tennessee
University of Miami,Private,Coral Gables,Florida
University of Michigan,Public,Ann Arbor,Michigan
University of Minnesota,Public,Minneapolis,Minnesota
University of Mississippi,Public,University,Mississippi
University of Missouri,Public,Columbia,Missouri
University of Missouri – Kansas City,Public,Kansas City,Missouri
University of Montana,Public,Missoula,Montana
University of Nebraska,Public,Lincoln,Nebraska
University of Nebraska at Omaha,Public,Omaha,Nebraska
University of Nevada – Las Vegas,Public,Las Vegas,Nevada
University of Nevada – Reno,Public,Reno,Nevada
University of New Hampshire,Public,Durham,New Hampshire
University of New Mexico,Public,Albuquerque,New Mexico
University of New Orleans,Public,New Orleans,Louisiana
University of North Alabama,Public,Florence,Alabama
University of North Carolina – Greensboro,Public,Greensboro,North Carolina
University of North Carolina – Wilmington,Public,Wilmington,North Carolina
University of North Carolina Asheville,Public,Asheville,North Carolina
University of North Carolina at Chapel Hill,Public,Chapel Hill,North Carolina
University of North Carolina at Charlotte,Public,Charlotte,North Carolina
University of North Dakota,Public,Grand Forks,North Dakota
University of North Florida,Public,Jacksonville,Florida
University of North Texas,Public,Denton,Texas
University of Northern Colorado,Public,Greeley,Colorado
University of Northern Iowa,Public,Cedar Falls,Iowa
University of Notre Dame,Private,Notre Dame,Indiana
University of Oklahoma,Public,Norman,Oklahoma
University of Oregon,Public,Eugene,Oregon
University of Pennsylvania – Penn,Private,Philadelphia,Pennsylvania
University of Pittsburgh,Public,Pittsburgh,Pennsylvania
University of Portland,Private,Portland,Oregon
University of Rhode Island,Public,Kingston,Rhode Island
University of Richmond,Private,Virginia,
University of San Diego,Private,San Diego,California
University of San Francisco,Private,San Francisco,California
University of South Alabama,Public,Mobile,Alabama
University of South Carolina,Public,Columbia,South Carolina
University of South Carolina – Upstate,Public,Spartanburg,South Carolina
University of South Dakota,Public,Vermillion,South Dakota
University of South Florida,Public,Tampa,Florida
University of Southern California,Private,Los Angeles,California
University of Southern Mississippi,Public,Hattiesburg,Mississippi
University of St. Thomas – Minnesota,Private,Saint Paul,Minnesota
University of Tennessee,Public,Knoxville,Tennessee
University of Tennessee – Chattanooga,Public,Chattanooga,Tennessee
University of Tennessee – Martin,Public,Martin,Tennessee
University of Texas – Arlington,Public,Arlington,Texas
University of Texas – Arlington,Public,Arlington,Texas
University of Texas – Austin,Public,Austin,Texas
University of Texas – El Paso,Public,El Paso,Texas
University of Texas – Rio Grande Valley,Public,Edinburg,Texas
University of Texas – San Antonio,Public,San Antonio,Texas
University of the Incarnate Word,Private,San Antonio,Texas
University of the Pacific,Private,Stockton,California
University of Toledo,Public,Toledo,Ohio
University of Tulsa,Private,Tulsa,Oklahoma
University of Utah,Public,Salt Lake City,Utah
University of Vermont,Public,Burlington,Vermont
University of Virginia,Public,Charlottesville,Virginia
University of Washington,Public,Seattle,Washington
University of Wisconsin,Public,Madison,Wisconsin
University of Wisconsin – Green Bay,Public,Green Bay,Wisconsin
University of Wisconsin – Milwaukee,Public,Milwaukee,Wisconsin
University of Wyoming,Public,Laramie,Wyoming
Utah State University,Public,Logan,Utah
Utah Tech University (Formerly Dixie State University),Public,Saint George,Utah
Utah Valley University,Public,Orem,Utah
Valparaiso University,Private,Valparaiso,Indiana
Vanderbilt University,Private,Nashville,Tennessee
Villanova University,Private,Villanova,Pennsylvania
Virginia Commonwealth University,Public,Richmond,Virginia
Virginia Military Institute – VMI,Public,Lexington,Virginia
Virginia Tech,Public,Blacksburg,Virginia
Wagner College,Private,Staten Island,New York
Wake Forest University,Private,Winston-Salem,North Carolina
